coffee_id,Country_of_Origin,Farm_Name,Mill,Company,Altitude,Region,Producer,Number_of_Bags,Bag_Weight,In_Country_Partner,Harvest_Year,Owner,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Defects,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers,Certification_Body,parsed_expiration,parsed_grading_date
#300191,Brazil,Fazenda Recreio,Dry mill,"WIT wealth, investments & trust",1250,Região Vulcânica,Diogo T. Dias de Macedo,25,60,Brazil Specialty Coffee Association,2022,Andre Clark,NULL,Completed,Pulped natural / honey,7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,0,85.5,0.113,Green,2,3,0,Brazil Specialty Coffee Association,2024-01-06,2023-01-06
#914711,Brazil,Fazenda Conquista e Capoeirinha,Dry mill,Ipanema Coffees,950,Sul de Minas,Ipanema Agrícola SA,960,60,Brazil Specialty Coffee Association,2022 / 2023,Ipanema Coffees,Mundo Novo,Completed,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10,10,10,7.67,0,83.25,0.116,Green,0,4,0,Brazil Specialty Coffee Association,2024-02-13,2023-02-13
#319783,Brazil,Fazenda Conquista,Dry Mill,Ipanema Coffees,950,Sul de Minas,Ipanema Coffees,2240,60,Brazil Specialty Coffee Association,2022 / 2023,Ipanema Coffees,Mundo Novo,Completed,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,0,80.08,0.114,Green,0,4,0,Brazil Specialty Coffee Association,2024-02-02,2023-02-02
#421693,Honduras,Bethel,CADEXSA,CADEXSA,1450,los planes de santa maria la paz,Omar Acosta,325,69,Instituto Hondureño del Café,2022 / 2023,CADEXSA,Catuai,Completed,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10,10,10,7.5,0,82.67,0.096,Green,0,2,0,Instituto Hondureño del Café,2024-04-24,2023-04-25
#102399,Honduras,Bethel,CADEXSA,CADEXSA,1450,"Los Planes de Santa Maria, La Paz",Omar Acosta,325,69,Instituto Hondureño del Café,2022 / 2023,CADEXSA,Catuai,Completed,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.08,0.096,Green,0,2,0,Instituto Hondureño del Café,2024-04-24,2023-04-25
#915144,Honduras,Varias,Beneficio Seco Comsa,Cafe Organico Marcala S.A de C.V.,1280,Marcala,Varios,275,69,Instituto Hondureño del Café,2022 / 2023,Eliud Hernandez Gonzales,Catuai,Completed,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0,82.83,0.1,Green,0,4,0,Instituto Hondureño del Café,2024-04-23,2023-04-24
#442273,Honduras,Varias,Beneficio seco,Cafe Organico Marcala S.A de C.V.,1400,Marcala,comsa,260,69,Instituto Hondureño del Café,2021 / 2022,Eliud Hernandez Gonzales,Catuai,Completed,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0,83.25,0.113,Green,0,5,1,Instituto Hondureño del Café,2023-08-17,2022-08-17
#183019,Honduras,Varias,Beneficio seco,Cafe Organico Marcala S.A de C.V.,1400,Marcala,comsa,260,69,Instituto Hondureño del Café,2021 / 2022,Eliud Hernandez Gonzales,SHG,Completed,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,0,83.5,0.112,Green,0,5,1,Instituto Hondureño del Café,2023-08-17,2022-08-17
#176177,Honduras,La Cuchilla,Global Coffee,Mercon Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",Jose Nahum Maldonado,345,30,Instituto Hondureño del Café,2022 / 2023,Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10,10,10,7.75,0,84.17,0.102,Green,0,2,0,Instituto Hondureño del Café,2024-04-24,2023-04-25
#748155,Honduras,La Cuchilla,Global Coffee,Mercon Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",Jose Nahum Maldonado,340,69,Instituto Hondureño del Café,2022 / 2023,Comercial Internacional de Granos de Honduras SA de CV,Catuai,Completed,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84.5,0.098,Green,0,3,0,Instituto Hondureño del Café,2024-04-24,2023-04-25
#858598,Colombia,NULL,Trilladora Popayán,ECOM COLOMBIA,1700,Cauca,Regional producers,285,70,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022 / 2023,Raúl Vargas,Caturra,Completed,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,0,83.83,0.121,Green,2,5,5,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024-02-22,2023-02-22
#329719,Colombia,La Fortaleza,Trilladora Pubenza,Cafe Colsuaves,1700,Popayán Cauca,La fortaleza,600,30,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022,pablo velosa,Caturra,Completed,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,0,83.5,0.122,Bluish-Green,0,2,0,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024-01-18,2023-01-18
#449544,Colombia,EL PRADO,NEIVA,carcafe ltda,1650,HUILA,FRANKLIN DUSSAN,600,30,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2022 / 2023,rodrigo amaya,Caturra,Completed,Washed / Wet,8,7.67,7.42,7.58,7.58,7.42,10,10,10,7.33,0,83,0.131,Bluish-Green,0,1,0,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024-01-13,2023-01-13
#882894,Colombia,Huila,Sucafina Trilladora Neiva,Sucafina Colombia SAS,1600,Huila,Sucafina Colombia,275,19250,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2021 / 2022,Sucafina Colombia SAS,NULL,Completed,Washed / Wet,7.75,7.67,7.67,7.75,7.75,7.75,10,10,10,7.75,0,84.08,0.119,Green,0,0,0,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024-01-12,2023-01-12
#208327,Vietnam,Gaia Farms,Hulling Facility,Brew Baby Coffee Company,1646,Lam Dong Province,Viet Coffee Company Limited,1,1,Firedancer Coffee Consultants,2022 / 2023,Rodney Murray,Catimor,Completed,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.33,0,81.83,0.112,Green,0,4,0,Firedancer Coffee Consultants,2024-04-09,2023-04-10
#274853,Colombia,NULL,NULL,Coffee Quality Institute,NULL,NULL,NULL,1,1,Barista and Coffee Academy of Asia,2022,Coffee Quality Institute,NULL,Completed,NULL,7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,0,83.67,0.124,Greenish,1,9,0,Barista and Coffee Academy of Asia,2023-09-26,2022-09-26
#829408,El Salvador,"Rosario de Maria II, Area de Loma Alta","Optimum Coffee, San Salvador, El Salvador",Aprentium Enterprises LLC,1400,"Volcan Chinchontepek, San Vicente, El Salvador",Roselia Yglesias,1,2,Salvadoran Coffee Council,2023,Roselia Yglesias,Bourbon,Completed,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,0,80.83,0.105,Bluish-Green,0,7,8,Salvadoran Coffee Council,2024-03-07,2023-03-08
#181854,El Salvador,"Rosario de Maria II, Area de Menjivar","Optimum Coffee, San Salvador, El Salvador",Aprentium Enterprises LLC,1300,"Volcan Chinchontepek, San Vicente, El Salvador",Roselia Yglesias,1,2,Salvadoran Coffee Council,2023,Roselia Yglesias,Pacas,Completed,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,0,80.33,0.115,Bluish-Green,0,7,10,Salvadoran Coffee Council,2024-03-07,2023-03-08
#322731,El Salvador,Agua Caliente,Agua Caliente,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",275,69,Salvadoran Coffee Council,2021 / 2022,Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10,10,10,7.17,0,82.33,0.118,Bluish-Green,0,0,0,Salvadoran Coffee Council,2023-07-07,2022-07-07
#112317,El Salvador,Agua Caliente,Agua Caliente,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",600,30,Salvadoran Coffee Council,2022 / 2023,Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10,10,10,7.42,0,82.33,0.12,Green,0,10,7,Salvadoran Coffee Council,2024-02-21,2023-02-21
#840458,El Salvador,Agua Caliente,Agua Caliente,Consejo Salvadoreño del Café,1200,Apaneca - Ilamatepec,"J.J. Borja Nathan, S.A.",600,30,Salvadoran Coffee Council,2022 / 2023,Consejo Salvadoreño del Café,Bourbon,Completed,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10,10,10,7.33,0,82.5,0.113,Green,0,2,0,Salvadoran Coffee Council,2024-03-02,2023-03-03
#955194,Madagascar,Mandroso,On the farm (mechanical huller and polisher / sorting by hand),Vao Vao Sarl,1500,Itasy,Marc Dumont,5,60,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,Marc Dumont,Bourbon,Completed,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10,10,10,7.83,0,84.25,0.121,Blue-Green,0,0,0,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023-12-12,2022-12-12
#847918,Indonesia,Wahana Graha Makmur,PT. Wahana Graha Makmur Medan,InterAmerican Coffee,1350,Sumatra,PT. Wahana Graha Makmur Group,320,60,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,Charles Umeano,NULL,Completed,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10,10,10,7.42,0,82,0.125,Bluish-Green,0,0,0,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023-08-22,2022-08-22
#119514,Colombia,COO,Laumayer Armenia,InterAmerican Coffee,1550,Huila,Cooperativa Central de Caficultores del Huila,275,70,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,Charles Umeano,Caturra,Completed,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10,10,10,7.67,0,84,0.133,Green,0,3,2,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023-07-27,2022-07-27
#350205,Indonesia,PT Indo CafCo North Sumatera,PT Indo CafCo,InterAmerican Coffee,1200,Aceh Tengah,PT Indo CafCo North Sumatera,320,60,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2022,Charles Umeano,Catimor,Completed,NULL,7.83,7.92,7.75,7.83,7.83,7.83,10,10,10,7.83,0,84.83,0.119,Bluish-Green,0,2,3,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023-09-23,2022-09-23
#617945,Taiwan,??????,NULL,Dongbi coffee,1300,"Shibi, Gukeng Township, Yunlin County ???? , Taiwan (R.O.C.)",???,5,2,Blossom Valley International????,2022,Dongbi,Gesha,Completed,Natural / Dry,8,8.17,8,7.92,7.92,7.92,10,10,10,8.17,0,86.08,0.103,Yellow-Green,0,0,0,Blossom Valley International????,2023-10-24,2022-10-24
#356700,Taiwan,??????,NULL,Yongshun,1250,"Caoling , Gukeng Township, Yunlin County",???,50,2,Blossom Valley International????,2022,Yongshun,SL34,Completed,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,0,83.67,0.1,Bluish-Green,0,0,0,Blossom Valley International????,2023-10-24,2022-10-24
#814850,Taiwan,?????????,NULL,????????,1200,"Gukeng Township, Yunlin County",???,8,1,Blossom Valley International????,2021 / 2022,???,Gesha,Completed,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,10,10,10,8.17,0,85.92,0.11,brownish,0,1,0,Blossom Valley International????,2023-10-24,2022-10-24
#259403,Taiwan,??????,NULL,????????,850,"Caoling , Gukeng Township, Yunlin County",???,20,1,Blossom Valley International????,2017 / 2018,CHEN RONG FENG,Gesha,Completed,Washed / Wet,7.75,7.92,7.75,8,7.83,7.92,10,10,10,8,0,85.17,0.103,Bluish-Green,0,0,0,Blossom Valley International????,2023-10-24,2022-10-24
#409732,Ethiopia,TRACON TRADING PLC,5.2Ha,Tracon Trading PLC,1943,Ethiopia,TRACON TRADING PLC,584,30,Blossom Valley International????,2021 / 2022,??? LI XIAO FEI,Ethiopian Heirlooms,Completed,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10,10,10,7.83,0,84.5,0.109,Green,0,9,0,Blossom Valley International????,2023-08-23,2022-08-23
#280845,Taiwan,??????,NULL,????????,1200,"Shibi, Gukeng Township, Yunlin County ???? , Taiwan (R.O.C.)",???,300,1,Blossom Valley International????,2022,??? GuoLiangZhi,Gesha,Completed,NULL,7.67,7.5,7.42,7.75,7.42,7.58,10,10,10,7.58,0,82.92,0.102,Yellow-Green,0,0,0,Blossom Valley International????,2023-10-24,2022-10-24
#994915,Panama,La Santa,La Santa,Panamerican Coffee Trading,1200,Boquete,La Santa,200,30,Specialty Coffee Association of Costa Rica,2022 / 2023,Rodrigo Soto,Catuai,Completed,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10,10,10,7.83,0,84.75,0.103,Bluish-Green,0,5,1,Specialty Coffee Association of Costa Rica,2024-04-25,2023-04-26
#594815,Costa Rica,San Diego Mill,Dosmil,Beneficios Volcafé Costa Rica,1500,Corralillo Tarrazu,San Diego Mill,500,30,Specialty Coffee Association of Costa Rica,2018 / 2019,Volcafe Japan,Caturra,Completed,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10,10,10,7.5,0,82,0.105,Green,1,8,2,Specialty Coffee Association of Costa Rica,2024-03-28,2023-03-29
#793199,Costa Rica,HACIENDA SAN IGNACIO,Beneficio La Giorgia,Grupo ECOM,1200,occidente,FJO ORLICH HNO LTDA,100,69,Specialty Coffee Association of Costa Rica,2022 / 2023,Ruddy Azofeifa,Caturra,Completed,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10,10,10,7.42,0,81.58,0.097,Green,0,4,2,Specialty Coffee Association of Costa Rica,2024-03-28,2023-03-29
#444508,Costa Rica,Gamboa Farm,Beneficio Montañas del Diamante,CECA S.A.,1850,Tarrazu,Martin Gutierrez,260,69,Specialty Coffee Association of Costa Rica,2022 / 2023,Joselyn Morales Quesada,Caturra,Completed,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10,10,10,8.58,0,84.67,0.1,Green,0,2,1,Specialty Coffee Association of Costa Rica,2024-04-18,2023-04-19
#191702,Costa Rica,Gamboa Farm,Beneficio Montañas del Diamante,CECA S.A.,1850,Tarrazu,Martin Gutierrez,320,69,Specialty Coffee Association of Costa Rica,2022 / 2023,Joselyn Morales Quesada,Caturra,Completed,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10,10,10,7.67,0,83.33,0,Green,0,3,0,Specialty Coffee Association of Costa Rica,2024-04-18,2023-04-19
#820121,Costa Rica,Gamboa Farm,Beneficio Montañas del Diamante,CECA S.A.,1850,Tarrazu,Martin Gutierrez,250,35,Specialty Coffee Association of Costa Rica,2022 / 2023,Joselyn Morales Quesada,Caturra,Completed,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10,10,10,7.75,0,83.92,0.095,Green,0,2,0,Specialty Coffee Association of Costa Rica,2024-04-18,2023-04-19
#777610,"Tanzania, United Republic Of",IYENGA,CITY COFFEE LTD,VOLCAFE/TaylorWinch Tanzania Ltd,1654,Mbeya,IYENGA AMCOS,620,30,Kenya Coffee Traders Association,2022 / 2023,Balam Hinyula,Bourbon,Completed,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10,10,10,7.83,0,84.83,0.112,Greenish,0,0,0,Kenya Coffee Traders Association,2023-11-09,2022-11-09
#605124,"Tanzania, United Republic Of",MASHIMA AMCOS,GOURMET COFFEE MILL,DORMAN (T) LTD,1550,KILIMANJARO,DORMAN,320,60,Kenya Coffee Traders Association,2022 / 2023,Gilbert Maina,Bourbon,Completed,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10,10,10,7.75,0,84,0.116,Greenish,0,2,0,Kenya Coffee Traders Association,2023-11-21,2022-11-21
#170699,"Tanzania, United Republic Of",MASHIMA AMCOS,GOURMET COFFEE MILL,DORMAN (T) LIMITED,1550,KILIMANJARO,DORMAN (T) LIMITED,320,60,Kenya Coffee Traders Association,2022 / 2023,Gilbert Maina,Bourbon,Completed,Washed / Wet,8.08,8.17,8.08,8.17,8,8,10,10,10,8,0,86.5,0.11,Greenish,0,0,0,Kenya Coffee Traders Association,2024-02-01,2023-02-01
#431038,"Tanzania, United Republic Of",MASHIMA AMCOS,GOURMET COFFEE MILL,DORMAN TANZANIA LTD,1550,KILIMANJARO,DORMAN TANZANIA LTD,320,60,Kenya Coffee Traders Association,2022 / 2023,Gilbert Maina,Bourbon,Completed,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10,10,10,7.5,0,83.25,0.104,Greenish,0,8,0,Kenya Coffee Traders Association,2024-01-03,2023-01-03
#778301,"Tanzania, United Republic Of",KONGONI ESTATE,RAFIKI MILL,C.DORMAN SEZ LTD,1675,ARUSHA,DORMAN (T) LTD,200,60,Kenya Coffee Traders Association,2022 / 2023,Gilbert Maina,Bourbon,Completed,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84,0.098,Greenish,0,3,0,Kenya Coffee Traders Association,2024-01-03,2023-01-03
#346202,"Tanzania, United Republic Of",BURKA,GOURMET COFFEE MILL,DORMAN (T) LIMITED,1585,Arusha,DORMAN (T) LIMITED,200,30,Kenya Coffee Traders Association,2022 / 2023,Gilbert Maina,Bourbon,Completed,Washed / Wet,8.17,8,7.92,7.92,8.17,7.75,10,10,10,7.92,0,85.83,0.1,Greenish,0,0,0,Kenya Coffee Traders Association,2024-02-01,2023-02-01
#387213,Kenya,Small Holder,NKG,IBERO (K) LTD,1750,Central,Small Holder,300,60,Kenya Coffee Traders Association,2022 / 2023,Judith Murimi,SL28,Completed,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8,10,10,10,8,0,85.25,0.092,Greenish,0,1,0,Kenya Coffee Traders Association,2024-02-28,2023-02-28
#656708,Ethiopia,Gerbicho Lela Cooperative,Sidama Coffee Farmers Cooperative Union,Taylor Winch Coffee Ltd,2000,Sidama,Sidama Coffee Farmers Cooperative Union,100,60,Kenya Coffee Traders Association,2021 / 2022,Taylor Winch (Coffee) Ltd.,Ethiopian Heirlooms,Completed,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10,10,10,7.75,0,83.83,0.12,Green,0,12,0,Kenya Coffee Traders Association,2023-09-09,2022-09-09
164,China,"puer jiangcheng fuwang coffee biotechnology co., ltd","puer jiangcheng fuwang coffee biotechnology co., ltd","puer jiangcheng fuwang coffee biotechnology co., ltd",1100,yunnan,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",1,2,Specialty Coffee Association,2013,eric wu,Other,,Washed / Wet,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0,84.5,0,Green,0,2,0,Specialty Coffee Association,2015-06-16,2014-06-16
978,Philippines,"irisan, baguio",green beans,s3v international importing,1200,corillera administrative,"COFFEE FOR PEACE,INC.",2,2,Specialty Coffee Association,2014,victoria,Typica,,Natural / Dry,7.25,7.25,7.25,7.08,7.58,7.5,10,10,10,7.25,0,81.17,0,None,0,4,0,Specialty Coffee Association,2016-01-08,2015-01-08
957,Philippines,bacofa,green beans,s3v international importing,1400,"davao city, region 11","COFFEE FOR PEACE,INC.",2,2,Specialty Coffee Association,2014,victoria,Other,,Washed / Wet,7.08,7.33,7.42,7.33,7.33,7.5,10,10,10,7.33,0,81.33,0.14,Green,0,3,0,Specialty Coffee Association,2015-11-13,2014-11-13
990,United States,NULL,juanana coffee association,conscious bean coffee,1707,central america,JuanAna Coffee Association,1,5,Specialty Coffee Association,2014,wali ali,Pache Comun,,Natural / Dry,7.42,7.17,7.33,7.42,7.25,7.33,10,10,10,7.17,0,81.08,0,,0,0,0,Specialty Coffee Association,2016-03-03,2015-03-04
662,Mexico,finca san el retiro,NULL,lusso coffee lab,1600,chiapas,Santiago & Rosaura Arguello Campos,2,2,Specialty Coffee Association,2013,lusso lab,Other,,Washed / Wet,7.42,7.58,7.5,7.67,7.25,7.5,10,10,10,7.58,0,82.5,0,Green,0,1,0,Specialty Coffee Association,2015-04-14,2014-04-14
49,Kenya,Kianjavi,NULL,lusso coffee lab,1860,kiambu,NULL,1,1,Specialty Coffee Association,2013,lusso lab,SL28,,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0,86,0.11,Green,0,1,0,Specialty Coffee Association,2015-02-06,2014-02-06
769,Mexico,NULL,NULL,lusso coffee lab,1400,"la concordia, chiapas",Union Ramal Santa Cruz,2,2,Specialty Coffee Association,2013,lusso lab,Other,,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,0,82.17,0.1,None,1,1,0,Specialty Coffee Association,2015-04-10,2014-04-10
64,El Salvador,finca la esmeralda,"aqua caliente, j.j. borja nathan. s.a",lusso coffee lab,1350,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1,Specialty Coffee Association,2012,lusso lab,Bourbon,,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0,85.58,0.11,None,0,0,0,Specialty Coffee Association,2014-01-12,2013-01-12
251,Ethiopia,NULL,NULL,lusso coffee lab,1550,sidamo,NULL,50,60,Specialty Coffee Association,2013,lusso lab,Other,,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,0,84,0.09,Green,4,40,0,Specialty Coffee Association,2015-01-17,2014-01-17
1156,Guatemala,genuine antigua medina,NULL,lusso coffee lab,NULL,antigua,Jorge Bolanos,275,69,Specialty Coffee Association,2012,lusso lab,Bourbon,,Washed / Wet,7.58,7.33,7.5,7.33,7,7.33,9.33,9.33,9.33,7.67,0,79.75,0,Green,0,4,0,Specialty Coffee Association,2013-07-23,2012-07-23
824,Zambia,mubuyu munali,NULL,lusso coffee lab,1250,mubuyu estate,NULL,13,2,Specialty Coffee Association,2014,lusso lab,SL28,,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10,10,10,7.25,0,81.92,0,,1,3,0,Specialty Coffee Association,2015-06-20,2014-06-20
48,Colombia,ecobio colombia,NULL,lusso coffee lab,1200,tolima,NULL,1,2,Specialty Coffee Association,2013,lusso lab,Caturra,,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0,86,0.12,Green,1,1,0,Specialty Coffee Association,2015-03-20,2014-03-20
